年级,实验名称,必做/选做
5-6年级,观察光通过三棱镜的色散现象,必做
5-6年级,观察生活中能的各种形式及相互转化,必做
5-6年级,观察热传导现象，如比较不同材质勺子的导热能力,必做
5-6年级,观察热对流现象，如水在回形管中的流动,必做
5-6年级,观察热辐射现象，如太阳和电取暖器的热辐射,必做
5-6年级,观察杠杆在生产生活中的应用，如撬棍、跷跷板等,必做
5-6年级,观察轮轴在生产生活中的应用，如方向盘、扳手等,必做
5-6年级,观察斜面在生产生活中的应用，如螺丝、引桥等,必做
5-6年级,观察滑轮在生产生活中的应用，如起重机、窗帘盒等,必做
5-6年级,制作简易电磁铁,必做
5-6年级,探究水对种子发芽的影响,必做
5-6年级,制作模拟生态系统，如池塘群落、生态瓶,必做
5-6年级,用显微镜观察不同生物的细胞，如洋葱表皮细胞、水中微生物,必做
5-6年级,观察绿叶会制造养分,必做
5-6年级,简单鉴别食物的营养成分，如淀粉、脂肪等,必做
5-6年级,模拟地球的自转和公转,必做
5-6年级,观察记录月相的变化,必做
5-6年级,制作简易的太阳系模型,必做
5-6年级,观察天空中的主要亮星和星座，如牛郎星、织女星、北斗七星、猎户座等,必做
5-6年级,模拟降雨的形成过程,必做
5-6年级,观察不同种岩石的颜色、坚硬程度、颗粒粗细等特征,必做
5-6年级,模拟地震和火山喷发,必做
5-6年级,利用科学原理设计制作简单装置，如日晷,必做
5-6年级,模拟地球转动方向和地轴倾斜程度,必做
7-9年级,科学测量（长度、体积、温度）,必做
7-9年级,制作动植物细胞模型,必做
7-9年级,制作临时装片，用光学显微镜观察细胞结构,必做
7-9年级,利用植物、动物和人体组织的玻片标本、挂图或有关数字资源，观察各种不同的组织,必做
7-9年级,解剖和观察花、果实、种子,必做
7-9年级,观察某区域中（如腐木上）的生物群落,必做
7-9年级,观察当地的植被,必做
7-9年级,观察小鱼尾鳍内的血液流动现象,必做
7-9年级,观察血液的成分,必做
7-9年级,探究叶在光照下合成淀粉，检验植物在光照下产生氧气,必做
7-9年级,探究人体某种反射现象，观察、体验膝跳反射,必做
7-9年级,养殖小动物或利用扦插方式种植植物，对其形态、生活史、生活习性进行观察，撰写观察报告,必做
7-9年级,培养并观察细菌菌落、黑根霉及其孢子,必做
7-9年级,探究水、温度、空气对种子萌发的影响,必做
7-9年级,用天平测量固体和液体的质量,必做
7-9年级,测量固体和液体的密度,必做
7-9年级,探究晶体的熔化规律,必做
7-9年级,针孔成像实验,必做
7-9年级,探究平面镜成像特点,必做
7-9年级,探究凸透镜成像规律,必做
7-9年级,探究影响浮力大小的因素,必做
7-9年级,探究影响摩擦力大小的因素,必做
7-9年级,探究液体内部压强的特点,必做
7-9年级,物质的分离—粗盐提纯,必做
7-9年级,固体、液体药品的取用及混合,必做
7-9年级,研究串、并联电路的电流特点,必做
7-9年级,研究串、并联电路的电压特点,必做
7-9年级,研究电流与电压、电阻的关系,必做
7-9年级,伏安法测电阻,必做
7-9年级,探究影响电磁铁磁性强弱的因素,必做
7-9年级,探究导体在磁场中产生感应电流的条件,必做
7-9年级,用电磁继电器制作自动控制装置,必做
7-9年级,氧气的制取和性质研究,必做
7-9年级,二氧化碳的制取和性质研究,必做
7-9年级,探究燃烧的条件,必做
7-9年级,探究水的组成,必做
7-9年级,一定溶质质量分数的氯化钠溶液的配制,必做
7-9年级,用 pH 试纸及酸碱指示剂检验物质的酸碱性,必做
7-9年级,探究酸和碱的化学性质,必做
7-9年级,铁、铜、银的化学活动性比较研究,必做
7-9年级,常见物质的鉴别,必做
7-9年级,探究杠杆的平衡条件,必做
7-9年级,测量滑轮组、斜面的机械效率,必做
7-9年级,测量小灯泡的电功率,必做
7-9年级,探究影响酶催化作用的因素,必做
7-9年级,探究植被覆盖对水土流失的影响,必做
7-9年级,利用科学原理设计制作简单装置，如制作水火箭,必做
7-9年级,利用水流模拟演示光纤原理,必做
